date;stock_fin_de_journee;source;pits
2012-01-25;8477.104031;Storengy;Saline
2011-01-18;5849.932777;Storengy;Sediane
2012-01-26;8461.439046;Storengy;Saline
2011-01-20;5802.621703;Storengy;Sediane
2012-01-31;8073.669304;Storengy;Saline
2011-01-24;5659.050996;Storengy;Sediane
2012-02-04;6317.617419;Storengy;Saline
2011-01-31;5052.921154;Storengy;Sediane
2012-02-11;4671.134245;Storengy;Saline
2011-02-07;4446.785614;Storengy;Sediane
2012-02-15;3972.917246;Storengy;Saline
2011-02-14;4191.246513;Storengy;Sediane
2012-02-24;3903.417515;Storengy;Saline
2011-02-25;3393.630501;Storengy;Sediane
2012-02-26;3948.518931;Storengy;Saline
2011-02-27;3310.364399;Storengy;Sediane
2012-02-27;3957.633568;Storengy;Saline
2011-03-10;2528.62227;Storengy;Sediane
2012-02-28;3935.266565;Storengy;Saline
2011-03-13;2695.531891;Storengy;Sediane
2012-03-05;4230.900993;Storengy;Saline
2011-03-14;2682.86324;Storengy;Sediane
2012-03-06;4165.031979;Storengy;Saline
2011-03-17;2692.830289;Storengy;Sediane
2012-03-08;4132.634081;Storengy;Saline
